species	tree_id	in_tree	species_status	assembly_status	callable_fraction	reconstructed_fraction	n_fraction	internal_stop_count_naive	frame_remainder	supported_events	quality_score	strict_species_intact	conflicting_fallback_eligible	selected	selection_tier	rejection_reason
Ovis aries	Ovis_aries	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.9677072120559742	0.9677072120559742	0.010968921389396709	28	2	15	178.53503295524587	False	False	False		loss_status_excluded
Ovis canadensis	Ovis_canadensis	True	DISRUPTED_HIGH	DISRUPTED_STRONG	0.9630426982418371	0.9630426982418371	0.012477064220183486	25	1	14	175.03757023712126	False	False	False		loss_status_excluded
Ovis nivicola	Ovis_nivicola	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.9630426982418371	0.9630426982418371	0.012477064220183486	24	1	14	172.03757023712126	False	False	False		loss_status_excluded
Ovis orientalis	Ovis_orientalis	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.9634015069967707	0.9634015069967707	0.012472487160674981	23	2	14	175.07349688320969	False	False	False		loss_status_excluded
Ovis vignei	Ovis_vignei	True	DISRUPTED_HIGH	DISRUPTED_STRONG	0.964119124506638	0.964119124506638	0.012463343108504398	37	1	13	172.14535007471812	False	False	False		loss_status_excluded
Pantholops hodgsonii	Pantholops_hodgsonii	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.9687836383207751	0.9687836383207751	0.010972933430870519	40	1	10	175.64263546131122	False	False	False		loss_status_excluded
Philantomba maxwellii	Philantomba_maxwellii	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9494079655543596	0.9494079655543596	0.027787934186471665	34	2	18	130.58774029968464	False	False	False		not_intact_background_status
Procapra przewalskii	Procapra_przewalskii	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9651955507714388	0.9651955507714388	0.007746219107340465	39	2	13	132.13440057837815	False	False	False		not_intact_background_status
Pseudois nayaur	Pseudois_nayaur	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.9616074632221027	0.9616074632221027	0.014684287812041116	45	0	10	171.68277620250404	False	False	False		loss_status_excluded
Pseudoryx nghetinhensis	Pseudoryx_nghetinhensis	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.8098313598851812	0.8098313598851812	0.17410387710314557	30	1	12	109.27525731668874	False	False	False		not_intact_background_status
Rangifer tarandus	Rangifer_tarandus	True	DISRUPTED_HIGH	DISRUPTED_STRONG	0.9673484033010405	0.9673484033010405	0.001840942562592047	26	1	12	175.71643090447813	False	False	False		loss_status_excluded
Raphicerus campestris	Raphicerus_campestris	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.5396483674201651	0.5396483674201651	0.4554992764109986	24	1	10	78.69677926484181	False	False	False		not_intact_background_status;callable_below_0.70
Rattus norvegicus	Rattus_norvegicus	True	EXTERNAL_INTACT	EXTERNAL_REFSEQ_INTACT	0.9989235737351991	0.9989235737351991	0.0	0	0	0	379.8600645855759	True	False	True	strict_species_intact	
Redunca redunca	Redunca_redunca	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9687836383207751	0.9687836383207751	0.006615214994487321	38	0	10	132.7220870851369	False	False	False		not_intact_background_status
Rucervus eldii	Rucervus_eldii	True	DISRUPTED_HIGH	DISRUPTED_STRONG	0.9077861499820595	0.9077861499820595	0.06603081438004402	35	2	7	167.88668466512948	False	False	False		loss_status_excluded
Rupicapra rupicapra	Rupicapra_rupicapra	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.8905633297452458	0.8905633297452458	0.08556738890929122	36	2	14	166.699073194514	False	False	False		loss_status_excluded
Rusa alfredi	Rusa_alfredi	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.8998923573735199	0.8998923573735199	0.0747800586510264	37	1	7	123.21169089583802	False	False	False		not_intact_background_status
