orthogroup	Ceratotherium simum	Diceros bicornis	Equus asinus	Equus quagga	Equus caballus	Canis lupus	Bos taurus
LOC101388880_	LOC101388880_	MTERF2_	MTERF2_	MTERF2_	MTERF2_	MTERF2_	MTERF2_
LOC101389155_	LOC101389155_	CRY1_	CRY1_	CRY1_	CRY1_	CRY1_	CRY1_
LOC101389404_	LOC101389404_	ABTB3_	ABTB3_	ABTB3_	ABTB3_	ABTB3_	BTBD11_
LOC101389831_	LOC101389831_	PWP1_	PWP1_	PWP1_	PWP1_	PWP1_	PWP1_
LOC101390094_	LOC101390094_	PRDM4_	PRDM4_	PRDM4_	PRDM4_	PRDM4_	PRDM4_
LOC101390013_	LOC101390013_	ASCL4_	ASCL4_	ASCL4_	ASCL4_	ASCL4_	ASCL4_
LOC101390355_	LOC101390355_	RTCB_	RTCB_	RTCB_	RTCB_	RTCB_	RTCB_
LOC101390604_	LOC101390604_	BPIFC_	BPIFC_	BPIFC_	BPIFC_	BPIFC_	BPIFC_
LOC101390860_	LOC101390860_	FBXO7_	FBXO7_	FBXO7_	FBXO7_	FBXO7_	FBXO7_
LOC101391523_	LOC101391523_	TIMP3_	TIMP3_	TIMP3_	TIMP3_	TIMP3_	TIMP3_
LOC101391772_	LOC101391772_	LARGE1_	LARGE1_	LARGE1_	LARGE1_	LARGE1_	LARGE1_
LOC101390274_	LOC101390274_	ISX_	ISX_	ISX_	ISX_	ISX_	ISX_
LOC101392033_	LOC101392033_	HMGXB4_	HMGXB4_	HMGXB4_	HMGXB4_	HMGXB4_	HMGXB4_
LOC101392466_	LOC101392466_	TOM1_	TOM1_	TOM1_	TOM1_	TOM1_	TOM1_
LOC101392907_	LOC101392907_	HMOX1_	HMOX1_	HMOX1_	HMOX1_	HMOX1_	HMOX1_
LOC101393167_	LOC101393167_	MCM5_	MCM5_	MCM5_	MCM5_	MCM5_	MCM5_
LOC101393584_	LOC101393584_	RASD2_	RASD2_	RASD2_	RASD2_	RASD2_	RASD2_
LOC101393841_	LOC101393841_	MB_	MB_	MB_	MB_	MB_	MB_
LOC101394093_	LOC101394093_	RBFOX2_	RBFOX2_	RBFOX2_	RBFOX2_	RBFOX2_	RBFOX2_
LOC101394857_	LOC101394857_	LOC131421429_	LOC106837564_	LOC124230596_	LOC100069464_	LOC112668674_	LOC512905_
LOC101395104_	LOC101395104_	MYH9_	MYH9_	MYH9_	MYH9_	MYH9_	MYH9_
LOC101395533_	LOC101395533_	TXN2_	TXN2_	TXN2_	TXN2_	TXN2_	TXN2_
LOC101395793_	LOC101395793_	FOXRED2_	FOXRED2_	FOXRED2_	FOXRED2_	FOXRED2_	FOXRED2_
LOC101396048_	LOC101396048_	EIF3D_	EIF3D_	EIF3D_	EIF3D_	EIF3D_	EIF3D_
LOC101396489_	LOC101396489_	CACNG2_	CACNG2_	CACNG2_	CACNG2_	CACNG2_	CACNG2_
LOC101396753_	LOC101396753_	IFT27_	IFT27_	IFT27_	IFT27_	IFT27_	IFT27_
LOC101397011_	LOC101397011_	PVALB_	PVALB_	PVALB_	PVALB_	PVALB_	PVALB_
LOC101397282_	LOC101397282_	NCF4_	NCF4_	NCF4_	NCF4_	NCF4_	NCF4_
LOC101392576_	LOC101392576_	LOC131421679_	LOC106837637_	LOC124232632_	CSF2RB_	CSF2RB_	CSF2RB_
LOC101397535_	LOC101397535_	CIMIP4_	CIMIP4_	TEX33_	CIMIP4_	TEX33_	TEX33_
LOC101397797_	LOC101397797_	TST_	TST_	TST_	TST_	TST_	TST_
LOC101398055_	LOC101398055_	MPST_	MPST_	MPST_	MPST_	MPST_	MPST_
LOC101398456_	LOC101398456_	KCTD17_	KCTD17_	KCTD17_	KCTD17_	KCTD17_	KCTD17_
LOC101398711_	LOC101398711_	TMPRSS6_	TMPRSS6_	TMPRSS6_	TMPRSS6_	TMPRSS6_	TMPRSS6_
LOC101392833_	LOC101392833_	IL2RB_	IL2RB_	IL2RB_	IL2RB_	IL2RB_	IL2RB_
LOC101398979_	LOC101398979_	C1QTNF6_	C1QTNF6_	C1QTNF6_	C1QTNF6_	C1QTNF6_	C1QTNF6_
LOC101399241_	LOC101399241_	SSTR3_	SSTR3_	SSTR3_	SSTR3_	SSTR3_	SSTR3_
LOC101399513_	LOC101399513_	RAC2_	RAC2_	RAC2_	RAC2_	RAC2_	RAC2_
LOC101399939_	LOC101399939_	CYTH4_	CYTH4_	CYTH4_	CYTH4_	CYTH4_	CYTH4_
LOC101400198_	LOC101400198_	ELFN2_	ELFN2_	ELFN2_	ELFN2_	ELFN2_	ELFN2_
LOC101400473_	LOC101400473_	MFNG_	MFNG_	MFNG_	MFNG_	MFNG_	MFNG_
LOC101400907_	LOC101400907_	CARD10_	CARD10_	CARD10_	CARD10_	CARD10_	CARD10_
LOC101401177_	LOC101401177_	CDC42EP1_	CDC42EP1_	CDC42EP1_	CDC42EP1_	CDC42EP1_	CDC42EP1_
LOC101401436_	LOC101401436_	LGALS2_	LGALS2_	LGALS2_	LGALS2_	LGALS2_	LGALS2_
LOC101401698_	LOC101401698_	GGA1_	GGA1_	GGA1_	GGA1_	GGA1_	GGA1_
LOC101402127_	LOC101402127_	SH3BP1_	SH3BP1_	SH3BP1_	SH3BP1_	SH3BP1_	SH3BP1_
LOC101402388_	LOC101402388_	PDXP_	PDXP_	PDXP_	PDXP_	LOC112668355_	PDXP_
LOC101402643_	LOC101402643_	LGALS1_	LGALS1_	LGALS1_	LGALS1_	LGALS1_	LGALS1_
LOC101393090_	LOC101393090_	NOL12_	NOL12_	NOL12_	NOL12_	NOL12_	NOL12_
LOC101393336_	LOC101393336_	TRIOBP_	TRIOBP_	TRIOBP_	TRIOBP_	LOC112668319_	TRIOBP_
LOC101402909_	LOC101402909_	SRSF7_	SRSF7_	SRSF7_	SRSF7_	SRSF7_	SRSF7_
LOC101403175_	LOC101403175_	GALM_	GALM_	GALM_	GALM_	GALM_	GALM_
LOC101403441_	LOC101403441_	HNRNPLL_	HNRNPLL_	HNRNPLL_	HNRNPLL_	HNRNPLL_	HNRNPLL_
LOC101404129_	LOC101404129_	ATL2_	ATL2_	ATL2_	ATL2_	ATL2_	ATL2_
LOC101404591_	LOC101404591_	DFFA_	DFFA_	DFFA_	DFFA_	DFFA_	DFFA_
LOC101404847_	LOC101404847_	LOC131412044_	CYP1B1_	LOC124239756_	CYP1B1_	LOC112664509_	CYP1B1_
LOC101405105_	LOC101405105_	RMDN2_	RMDN2_	RMDN2_	RMDN2_	RMDN2_	RMDN2_
LOC101405364_	LOC101405364_	CDC42EP3_	CDC42EP3_	CDC42EP3_	CDC42EP3_	CDC42EP3_	CDC42EP3_
LOC101405904_	LOC101405904_	QPCT_	QPCT_	QPCT_	QPCT_	QPCT_	QPCT_
LOC101406159_	LOC101406159_	PRKD3_	PRKD3_	PRKD3_	PRKD3_	PRKD3_	PRKD3_
LOC101406414_	LOC101406414_	NDUFAF7_	NDUFAF7_	NDUFAF7_	NDUFAF7_	NDUFAF7_	NDUFAF7_
LOC101407196_	LOC101407196_	CEBPZ_	CEBPZ_	CEBPZ_	CEBPZ_	CEBPZ_	CEBPZ_
LOC101393845_	LOC101393845_	EIF2AK2_	EIF2AK2_	EIF2AK2_	EIF2AK2_	EIF2AK2_	EIF2AK2_
LOC101407447_	LOC101407447_	GPATCH11_	GPATCH11_	GPATCH11_	GPATCH11_	GPATCH11_	GPATCH11_
LOC101407724_	LOC101407724_	HEATR5B_	HEATR5B_	HEATR5B_	HEATR5B_	HEATR5B_	HEATR5B_
LOC101407983_	LOC101407983_	STRN_	STRN_	STRN_	STRN_	STRN_	STRN_
LOC101408242_	LOC101408242_	VIT_	VIT_	VIT_	VIT_	VIT_	VIT_
LOC101408502_	LOC101408502_	FEZ2_	FEZ2_	FEZ2_	FEZ2_	FEZ2_	FEZ2_
LOC101409098_	LOC101409098_	CRIM1_	CRIM1_	CRIM1_	CRIM1_	CRIM1_	CRIM1_
LOC101387248_	LOC101387248_	FAM98A_	FAM98A_	FAM98A_	FAM98A_	FAM98A_	FAM98A_
LOC101387495_	LOC101387495_	RASGRP3_	RASGRP3_	RASGRP3_	RASGRP3_	RASGRP3_	RASGRP3_
LOC101387751_	LOC101387751_	LTBP1_	LTBP1_	LTBP1_	LTBP1_	LTBP1_	LTBP1_
LOC101388782_	LOC101388782_	TTC27_	TTC27_	TTC27_	TTC27_	TTC27_	TTC27_
LOC101389054_	LOC101389054_	BIRC6_	BIRC6_	BIRC6_	BIRC6_	BIRC6_	BIRC6_
LOC101389307_	LOC101389307_	YIPF4_	YIPF4_	YIPF4_	YIPF4_	YIPF4_	YIPF4_
LOC101390011_	LOC101390011_	SLC30A6_	SLC30A6_	SLC30A6_	SLC30A6_	SLC30A6_	SLC30A6_
LOC101390438_	LOC101390438_	SPAST_	SPAST_	SPAST_	SPAST_	SPAST_	SPAST_
LOC101390861_	LOC101390861_	DPY30_	DPY30_	DPY30_	DPY30_	DPY30_	DPY30_
LOC101391439_	LOC101391439_	MEMO1_	MEMO1_	MEMO1_	MEMO1_	MEMO1_	MEMO1_
LOC101392307_	LOC101392307_	SRD5A2_	SRD5A2_	SRD5A2_	SRD5A2_	SRD5A2_	SRD5A2_
LOC101392574_	LOC101392574_	EHD3_	EHD3_	EHD3_	EHD3_	EHD3_	EHD3_
LOC101395108_	LOC101395108_	CAPN14_	CAPN14_	CAPN14_	CAPN14_	CAPN14_	CAPN14_
LOC101392830_	LOC101392830_	GALNT14_	GALNT14_	GALNT14_	GALNT14_	GALNT14_	GALNT14_
LOC101395370_	LOC101395370_	CAPN13_	CAPN13_	CAPN13_	CAPN13_	CAPN13_	CAPN13_
LOC101393089_	LOC101393089_	LCLAT1_	LCLAT1_	LCLAT1_	LCLAT1_	LCLAT1_	LCLAT1_
LOC101393843_	LOC101393843_	LBH_	LBH_	LBH_	LBH_	LBH_	LBH_
LOC101394095_	LOC101394095_	YPEL5_	YPEL5_	YPEL5_	YPEL5_	YPEL5_	YPEL5_
LOC101394859_	LOC101394859_	ALK_	ALK_	ALK_	ALK_	ALK_	ALK_
LOC101395106_	LOC101395106_	CLIP4_	CLIP4_	CLIP4_	CLIP4_	CLIP4_	CLIP4_
LOC101395629_	LOC101395629_	PCARE_	PCARE_	PCARE_	PCARE_	PCARE_	PCARE_
LOC101395881_	LOC101395881_	LOC131412089_	TOGARAM2_	TOGARAM2_	TOGARAM2_	TOGARAM2_	TOGARAM2_
LOC101395367_	LOC101395367_	WDR43_	WDR43_	WDR43_	WDR43_	WDR43_	WDR43_
LOC101395626_	LOC101395626_	TRMT61B_	TRMT61B_	TRMT61B_	TRMT61B_	TRMT61B_	TRMT61B_
LOC101395880_	LOC101395880_	SPDYA_	SPDYA_	SPDYA_	SPDYA_	SPDYA_	SPDYA_
